17889,State,PopulationLatitude,,Longitude
Haviland,Ohio,201,41.0178,-84.5853
Havre,Montana,9791,48.5427,-109.68
Havre de Grace,Maryland,14018,39.5481,-76.1145
Haw River,North Carolina,2535,36.0925,-79.3616
Hawaiian Gardens,California,14159,33.8303,-118.073
Hawarden,Iowa,2444,43.0015,-96.4829
Hawesville,Kentucky,990,37.8962,-86.7562
Hawk Cove,Texas,557,32.8839,-96.0833
Hawk Point,Missouri,712,38.9714,-91.1321
Hawkeye,Iowa,408,42.9378,-91.9504
Hawkins,Texas,1321,32.5917,-95.2027
Hawkins,Wisconsin,280,45.5114,-90.7148
Hawkinsville,Georgia,5270,32.2964,-83.4814
Hawley,Minnesota,2198,46.877,-96.318
Hawley,Texas,623,32.6037,-99.8111
Haworth,Oklahoma,296,33.8403,-94.6571
Hawthorn Woods,Illinois,8666,42.2313,-88.0623
Hawthorne,California,86068,33.9146,-118.348
Hawthorne,Florida,1522,29.5937,-82.0945
Haxtun,Colorado,904,40.6419,-102.63
Hay Springs,Nebraska,540,42.6834,-102.69
Hayden,Alabama,1343,33.8822,-86.7839
Hayden,Arizona,631,32.9995,-110.781
Hayden,Colorado,1979,40.4851,-107.239
Hayden,Idaho,15434,47.768,-116.804
Hayden Lake,Idaho,623,47.7638,-116.756
Hayes Center,Nebraska,203,40.511,-101.02
Hayesville,Iowa,49,41.2646,-92.2477
Hayesville,North Carolina,483,35.045,-83.8179
Hayesville,Ohio,458,40.7752,-82.2596
Hayfield,Minnesota,1337,43.8903,-92.8471
Haymarket,Virginia,1676,38.8122,-77.6363
Haynes,Arkansas,125,34.8909,-90.7927
Haynes,North Dakota,23,45.9739,-102.471
Haynesville,Louisiana,2019,32.9667,-93.1376
Hayneville,Alabama,784,32.1822,-86.5787
Hays,Kansas,20744,38.8815,-99.3218
Hays,Texas,269,30.1215,-97.8724
Haysi,Virginia,465,37.2151,-82.2931
Haysville,Kansas,11338,37.5649,-97.3527
Hayti,Missouri,2501,36.2323,-89.7474
Hayti,South Dakota,383,44.6571,-97.2046
Hayti Heights,Missouri,547,36.2311,-89.7682
Hayward,California,159203,37.6328,-122.077
Hayward,Minnesota,242,43.6499,-93.246
Hayward,Wisconsin,3550,46.0094,-91.4826
Haywood City,Missouri,202,37.0117,-89.6003
Hazard,Kentucky,4860,37.2583,-83.1977
Hazard,Nebraska,66,41.0914,-99.0772
Hazel,Kentucky,403,36.5055,-88.3253
Hazel,South Dakota,86,44.7583,-97.381
Hazel Crest,Illinois,13565,41.5732,-87.6899
Hazel Green,Wisconsin,1220,42.5341,-90.4361
Hazel Park,Michigan,16347,42.4619,-83.0977
Hazel Run,Minnesota,56,44.7484,-95.7165
Hazelton,Idaho,821,42.5952,-114.137
Hazelton,Kansas,86,37.0894,-98.4015
Hazelton,North Dakota,211,46.4858,-100.281
Hazelwood,Missouri,25117,38.7931,-90.3899
Hazen,Arkansas,1344,34.7966,-91.5725
Hazen,North Dakota,2311,47.299,-101.626
Hazlehurst,Georgia,4137,31.8651,-82.5994
Hazlehurst,Mississippi,3730,31.8646,-90.3929
Hazleton,Indiana,268,38.4893,-87.5406
Hazleton,Iowa,833,42.6178,-91.9058
Hazleton,Pennsylvania,24794,40.9504,-75.9724
Head of the Harbor,New York,1458,40.8981,-73.1624
Headland,Alabama,4712,31.3501,-85.3523
Headrick,Oklahoma,88,34.6268,-99.1373
Healdsburg,California,11845,38.6229,-122.865
Healdton,Oklahoma,2683,34.2335,-97.4868
Hearne,Texas,4354,30.877,-96.5956
Heartwell,Nebraska,69,40.5699,-98.7891
Heath,Alabama,256,31.3579,-86.4673
Heath,Ohio,10942,40.0241,-82.4412
Heath,Texas,9331,32.8444,-96.4679
Heath Springs,South Carolina,1019,34.5933,-80.675
Heavener,Oklahoma,3301,34.8919,-94.6075
Heber,Utah,17082,40.5068,-111.398
Heber Springs,Arkansas,6916,35.5003,-92.0332
Hebron,Illinois,1183,42.4649,-88.4343
Hebron,Indiana,3670,41.3246,-87.2017
Hebron,Maryland,1096,38.4243,-75.6871
Hebron,Nebraska,1472,40.1681,-97.5872
Hebron,North Dakota,675,46.9023,-102.044
Hebron,Ohio,2477,39.9644,-82.4898
Hebron,Texas,215,33.0437,-96.8794
Hebron,Wisconsin,1130,42.9232,-88.6916
Hebron Estates,Kentucky,1177,38.0501,-85.6682
Hecker,Illinois,478,38.3054,-89.9934
Hecla,South Dakota,216,45.8822,-98.152
Hector,Arkansas,466,35.4644,-92.976
Hector,Minnesota,1050,44.7412,-94.712
Hedgesville,West Virginia,297,39.5544,-77.9944
Hedley,Texas,289,34.8674,-100.659
Hedrick,Iowa,754,41.1712,-92.3079
Hedwig Village,Texas,2634,29.7799,-95.5193
Heflin,Alabama,3409,33.6471,-85.5698
Heflin,Louisiana,221,32.4565,-93.2683
Heidelberg,Minnesota,124,44.4932,-93.6264
Heidelberg,Mississippi,659,31.8898,-88.9879
Helen,Georgia,560,34.7044,-83.7201
Helena,Alabama,19925,33.2845,-86.8756
Helena,Montana,33124,46.5965,-112.02
Helena,Ohio,209,41.3403,-83.2921
Helena,Oklahoma,1415,36.5466,-98.2714
Helena-West Helena,Arkansas,10299,34.5314,-90.6201
Helix,Oregon,184,45.8506,-118.659
Helotes,Texas,9961,29.5693,-98.6956
Helper,Utah,2105,39.6898,-110.86
Hemby Bridge,North Carolina,1809,35.1055,-80.6258
Hemet,California,85334,33.7341,-116.997
Hemingford,Nebraska,773,42.3214,-103.075
Hemingway,South Carolina,395,33.7533,-79.4462
Hemlock,Ohio,152,39.5905,-82.1545
Hemphill,Texas,1244,31.3431,-93.8512
Hempstead,Texas,8355,30.1004,-96.0779
Henagar,Alabama,2363,34.631,-85.7405
Henderson,Illinois,244,41.0238,-90.3535
Henderson,Iowa,185,41.14,-95.4309
Henderson,Kentucky,28207,37.8397,-87.5798
Henderson,Louisiana,1795,30.3186,-91.8039
Henderson,Maryland,143,39.075,-75.7661
Henderson,Minnesota,930,44.5278,-93.9091
Henderson,Nebraska,985,40.7795,-97.8117
Henderson,Nevada,320189,36.0133,-115.038
Henderson,North Carolina,14911,36.3259,-78.4155
Henderson,Tennessee,6357,35.4446,-88.6531
Henderson,Texas,13154,32.1576,-94.796
Henderson,West Virginia,259,38.8304,-82.136
Hendersonville,North Carolina,14157,35.3242,-82.4576
Hendersonville,Tennessee,58113,36.3063,-86.5998
Hendley,Nebraska,23,40.1312,-99.9713
Hendricks,Minnesota,675,44.5076,-96.4281
Hendricks,West Virginia,257,39.0754,-79.6299
Hendrix,Oklahoma,85,33.7753,-96.4071
Hendrum,Minnesota,281,47.2641,-96.8104
Henefer,Utah,979,41.0138,-111.493
Henlopen Acres,Delaware,144,38.7257,-75.0849
Hennepin,Illinois,705,41.2589,-89.3216
Hennessey,Oklahoma,2223,36.1056,-97.8989
Henning,Illinois,234,40.3069,-87.701
Henning,Minnesota,808,46.3233,-95.4424
Henning,Tennessee,931,35.682,-89.577
Henrietta,Missouri,357,39.2371,-93.9384
Henrietta,Texas,3118,33.8147,-98.1925
Henriette,Minnesota,69,45.8711,-93.12
Henrieville,Utah,225,37.5638,-112.002
Henry,Illinois,2209,41.1172,-89.3569
Henry,Nebraska,100,41.9979,-104.046
Henry,South Dakota,265,44.8809,-97.4616
Henry,Tennessee,447,36.2001,-88.4111
Henryetta,Oklahoma,5566,35.4421,-95.9848
Hepburn,Iowa,17,40.8476,-95.0167
Hephzibah,Georgia,3944,33.2906,-82.0994
Hepler,Kansas,131,37.6637,-94.9697
Heppner,Oregon,1266,45.3547,-119.556
Herculaneum,Missouri,4138,38.2579,-90.3949
Hercules,California,26276,38.0064,-122.256
Hereford,Texas,14622,34.8232,-102.4
Herington,Kansas,2268,38.6863,-96.8667
Heritage Creek,Kentucky,1133,38.0952,-85.6125
Herman,Minnesota,440,45.8105,-96.1414
Herman,Nebraska,271,41.674,-96.2167
Hermann,Missouri,2342,38.6983,-91.4342
Hermantown,Minnesota,9637,46.8058,-92.2407
Hermiston,Oregon,17782,45.8323,-119.286
Hermitage,Arkansas,771,33.4471,-92.1712
Hermitage,Missouri,464,37.9443,-93.3255
Hermitage,Pennsylvania,15471,41.2305,-80.4414
Hermosa,South Dakota,425,43.8398,-103.193
Hermosa Beach,California,19320,33.8654,-118.397
Hernando,Mississippi,16399,34.85,-89.9922
Herndon,Kansas,130,39.9092,-100.787
Herndon,Virginia,24601,38.9699,-77.3867
Heron Lake,Minnesota,648,43.798,-95.3198
Herreid,South Dakota,416,45.8377,-100.075
Herrick,Illinois,431,39.2196,-88.9848
Herrick,South Dakota,103,43.115,-99.1882
Herriman,Utah,51348,40.4899,-112.017
Herrin,Illinois,12687,37.7983,-89.0305
Herscher,Illinois,1504,41.0493,-88.1006
Hersey,Michigan,346,43.8513,-85.4419
Hershey,Nebraska,656,41.1601,-100.999
Hertford,North Carolina,2113,36.1813,-76.4673
Hesperia,California,95750,34.3975,-117.315
Hesperia,Michigan,929,43.5691,-86.0407
Hessmer,Louisiana,750,31.0534,-92.1214
Hesston,Kansas,3742,38.1403,-97.4272
Hetland,South Dakota,47,44.3772,-97.2347
Hettick,Illinois,171,39.3557,-90.0372
Hettinger,North Dakota,1155,46.0034,-102.635
Heuvelton,New York,722,44.617,-75.4046
Hewitt,Minnesota,256,46.324,-95.0902
Hewitt,Texas,14937,31.452,-97.196
Hewitt,Wisconsin,778,44.6425,-90.1049
Hewlett Bay Park,New York,429,40.6346,-73.6953
Hewlett Harbor,New York,1272,40.6327,-73.6842
Hewlett Neck,New York,472,40.6247,-73.6981
Heyburn,Idaho,3447,42.5599,-113.762
Heyworth,Illinois,2867,40.3138,-88.9928
Hialeah,Florida,233339,25.8696,-80.3046
Hialeah Gardens,Florida,23474,25.8878,-80.3569
Hiawassee,Georgia,911,34.9494,-83.753
Hiawatha,Iowa,7420,42.0547,-91.6911
Hiawatha,Kansas,3118,39.8517,-95.5381
Hibbing,Minnesota,15855,47.3981,-92.9487
Hickman,Kentucky,2108,36.565,-89.1837
Hickman,Nebraska,2371,40.6248,-96.6306
Hickory,Mississippi,529,32.3167,-89.0217
Hickory,North Carolina,41171,35.7425,-81.323
Hickory,Oklahoma,73,34.557,-96.858
Hickory Creek,Texas,4795,33.1114,-97.0313
Hickory Flat,Mississippi,550,34.616,-89.1913
Hickory Grove,South Carolina,551,34.9785,-81.418
Hickory Hill,Kentucky,118,38.2877,-85.5679
Hickory Hills,Illinois,13710,41.7248,-87.8281
Hickory Ridge,Arkansas,241,35.403,-90.9946
Hickory Valley,Tennessee,93,35.155,-89.126
Hicksville,Ohio,3434,41.2944,-84.7648
Hico,Texas,1413,31.9859,-98.0291
Hidalgo,Illinois,105,39.1559,-88.1491
Hidalgo,Texas,14183,26.109,-98.2463
Hidden Hills,California,1890,34.1637,-118.661
Hideaway,Texas,3174,32.489,-95.4578
Hideout,Utah,998,40.6438,-111.401
Higbee,Missouri,550,39.3059,-92.5128
Higden,Arkansas,122,35.5666,-92.2047
Higgins,Texas,391,36.121,-100.027
Higginson,Arkansas,731,35.1968,-91.7152
Higginsport,Ohio,242,38.79,-83.9673
Higginsville,Missouri,4609,39.0653,-93.727
Higgston,Georgia,312,32.2164,-82.467
High Hill,Missouri,177,38.8753,-91.3776
High Point,North Carolina,112791,35.9907,-79.9938
High Shoals,North Carolina,748,35.3957,-81.2047
High Springs,Florida,6178,29.808,-82.5949
Highfill,Arkansas,635,36.2767,-94.3237
Highland,Arkansas,1107,36.2657,-91.5186
Highland,California,55417,34.1113,-117.165
Highland,Illinois,9834,38.7602,-89.681
Highland,Indiana,22316,41.5485,-87.4587
Highland,Kansas,995,39.8603,-95.2649
Highland,New York,2484,41.7179,-73.9646
Highland,Ohio,250,39.3439,-83.6001
Highland,Utah,19175,40.4275,-111.796
Highland,Wisconsin,826,43.0475,-90.3801
Highland Beach,Florida,3916,26.4088,-80.0661
Highland Beach,Maryland,110,38.9312,-76.466
Highland Falls,New York,3829,41.3643,-73.9683
Highland Haven,Texas,443,30.6074,-98.3951
Highland Heights,Kentucky,7065,39.0355,-84.4567
Highland Heights,Ohio,8373,41.5518,-81.4691
Highland Hills,Ohio,960,41.4507,-81.5191
Highland Lake,Alabama,410,33.8876,-86.4244
Highland Park,Florida,220,27.8614,-81.5618
Highland Park,Illinois,29515,42.1823,-87.8105
Highland Park,Michigan,10775,42.4052,-83.0977
Highland Park,Texas,9083,32.8311,-96.8012
Highland Village,Texas,16668,33.0897,-97.0615
Highlands,North Carolina,982,35.0539,-83.1976
Highlandville,Missouri,1051,36.9409,-93.283
Highmore,South Dakota,726,44.5214,-99.4393
Highwood,Illinois,5224,42.206,-87.8128
Hilbert,Wisconsin,1081,44.1415,-88.1611
Hilda,South Carolina,408,33.274,-81.2466
Hildale,Utah,2896,37.0171,-112.979
Hildebran,North Carolina,2010,35.7181,-81.4211
Hildreth,Nebraska,352,40.3378,-99.0458
Hill City,Kansas,1410,39.3671,-99.8461
Hill City,Minnesota,585,46.983,-93.5959
Hill City,South Dakota,1032,43.9338,-103.569
Hill Country Village,Texas,1114,29.5831,-98.4893
Hillburn,New York,983,41.1264,-74.1705
Hillcrest,Illinois,1225,41.9684,-89.0654
Hillcrest,Texas,712,29.3924,-95.2233
Hillcrest Heights,Florida,298,27.8083,-81.5695
Hilliard,Florida,3263,30.6865,-81.9212
Hilliard,Ohio,36534,40.0353,-83.1578
Hillman,Michigan,669,45.0647,-83.8975
Hillman,Minnesota,37,46.0063,-93.8887
Hillrose,Colorado,260,40.3245,-103.522
Hills,Iowa,804,41.5569,-91.536
Hills,Minnesota,651,43.5278,-96.3594
Hills and Dales,Kentucky,146,38.3005,-85.6249
Hills and Dales,Ohio,221,40.8292,-81.4439
Hillsboro,Alabama,521,34.6408,-87.1837
Hillsboro,Illinois,5970,39.1668,-89.4735
Hillsboro,Indiana,501,40.1089,-87.1576
Hillsboro,Iowa,177,40.8374,-91.7113
Hillsboro,Kansas,2816,38.3527,-97.1992
Hillsboro,Maryland,156,38.9168,-75.9413
Hillsboro,Missouri,3292,38.233,-90.5671
Hillsboro,North Dakota,1624,47.403,-97.0635
Hillsboro,Ohio,6554,39.2123,-83.6112
Hillsboro,Oregon,109128,45.5272,-122.936
Hillsboro,Texas,8476,32.0091,-97.1151
Hillsboro,Virginia,169,39.1987,-77.7239
Hillsboro,West Virginia,238,38.1353,-80.2136
Hillsboro,Wisconsin,1393,43.6559,-90.3365
Hillsboro Beach,Florida,2012,26.2837,-80.0796
Hillsdale,Illinois,505,41.6108,-90.1752
Hillsdale,Michigan,8003,41.9266,-84.6356
Hillsdale,Missouri,1542,38.6858,-90.2869
Hillsdale,Oklahoma,122,36.5634,-97.9927
Hillside,Illinois,7933,41.8674,-87.9019
Hillsview,South Dakota,3,45.6642,-99.5607
Hillsville,Virginia,2661,36.7613,-80.7372
Hilltop,Minnesota,757,45.0536,-93.2501
Hillview,Illinois,177,39.4495,-90.5386
Hillview,Kentucky,9225,38.0563,-85.6848
Hilshire Village,Texas,808,29.7908,-95.4885
Hilton,New York,5777,43.29,-77.7925
Hilton Head Island,South Carolina,39861,32.1896,-80.7499
Hiltonia,Georgia,324,32.8833,-81.6613
Hinckley,Illinois,2050,41.7714,-88.6397
Hinckley,Minnesota,1928,46.0122,-92.9256
Hinckley,Utah,716,39.3336,-112.674
Hindman,Kentucky,678,37.335,-82.9819
Hindsboro,Illinois,296,39.6847,-88.1347
Hindsville,Arkansas,65,36.1458,-93.8627
Hines,Oregon,1545,43.557,-119.08
Hinesville,Georgia,33273,31.8247,-81.6135
Hingham,Montana,119,48.5554,-110.421
Hinsdale,Illinois,17637,41.8005,-87.9273
Hinton,Iowa,948,42.6212,-96.2978
Hinton,Oklahoma,3219,35.4793,-98.359
Hinton,West Virginia,2357,37.6651,-80.8828
Hiram,Georgia,4223,33.8771,-84.771
Hiram,Ohio,1159,41.3113,-81.1429
Hitchcock,Oklahoma,114,35.9676,-98.3497
Hitchcock,South Dakota,95,44.6294,-98.4082
Hitchcock,Texas,7914,29.2945,-95.025
Hitchita,Oklahoma,83,35.5198,-95.7518
Hitterdal,Minnesota,211,46.9778,-96.2584
Hixton,Wisconsin,665,44.3831,-91.0148
Hobart,Indiana,27939,41.5139,-87.2729
Hobart,New York,391,42.3715,-74.6691
Hobart,Oklahoma,3427,35.0246,-99.0875
Hobart,Wisconsin,10082,44.4967,-88.1602
Hobbs,New Mexico,39141,32.7282,-103.16
Hoberg,Missouri,57,37.0682,-93.8493
Hobgood,North Carolina,317,36.0267,-77.394
Hoboken,Georgia,536,31.1813,-82.1313
Hoboken,New Jersey,52677,40.7453,-74.0279
Hobson,Montana,231,46.9996,-109.873
Hobson City,Alabama,755,33.6148,-85.8561
Hodge,Louisiana,436,32.2719,-92.7303
Hodgenville,Kentucky,3249,37.5668,-85.7353
Hodges,Alabama,283,34.334,-87.9299
Hodges,South Carolina,148,34.2876,-82.248
Hodgkins,Illinois,1971,41.7659,-87.8613
Hoffman,Illinois,483,38.5404,-89.2644
Hoffman,Minnesota,682,45.8341,-95.787
Hoffman,North Carolina,572,35.0313,-79.5491
Hoffman,Oklahoma,126,35.4889,-95.8449
Hoffman Estates,Illinois,50932,42.0639,-88.1468
Hogansville,Georgia,3128,33.1674,-84.9027
Hohenwald,Tennessee,3813,35.5515,-87.5539
Hoisington,Kansas,2470,38.518,-98.7773
Hokah,Minnesota,547,43.7599,-91.35
Hokes Bluff,Alabama,4257,33.9902,-85.8639
Holbrook,Arizona,5084,34.9044,-110.167
Holbrook,Nebraska,194,40.3047,-100.01
Holcomb,Kansas,2073,37.9864,-100.994
Holcomb,Missouri,576,36.4022,-90.0249
Holden,Missouri,2236,38.7136,-93.9895
Holden,Utah,393,39.1003,-112.27
Holden Beach,North Carolina,664,33.912,-78.3182
Holdenville,Oklahoma,5501,35.0836,-96.4004
Holdingford,Minnesota,721,45.7298,-94.4717
Holdrege,Nebraska,5408,40.4395,-99.3773
Holgate,Ohio,1059,41.2493,-84.1292
Holiday City,Ohio,47,41.6182,-84.5385
Holiday Hills,Illinois,579,42.2976,-88.2294
Holiday Lakes,Texas,1250,29.2083,-95.5146
Holladay,Utah,30325,40.6599,-111.823
Holland,Arkansas,577,35.166,-92.277
Holland,Indiana,650,38.2464,-87.0384
Holland,Iowa,277,42.4002,-92.7988
Holland,Michigan,33216,42.7677,-86.0985
Holland,Minnesota,173,44.0896,-96.1944
Holland,Missouri,197,36.057,-89.8706
Holland,Ohio,1655,41.6192,-83.7083
Holland,Texas,1171,30.8834,-97.4026
Holland Patent,New York,444,43.2413,-75.2566
Hollandale,Minnesota,299,43.7598,-93.2043
Hollandale,Mississippi,2304,33.1761,-90.8529
Hollandale,Wisconsin,275,42.8756,-89.9342
Hollansburg,Ohio,216,39.9986,-84.7927
Hollenberg,Kansas,20,39.981,-96.9917
Holley,New York,1683,43.2247,-78.0292
Holliday,Missouri,132,39.4936,-92.1312
Holliday,Texas,1670,33.8142,-98.6899
Hollis,Oklahoma,1873,34.6895,-99.9153
Hollister,California,40740,36.8563,-121.398
Hollister,Idaho,309,42.3529,-114.584
Hollister,Missouri,4592,36.6058,-93.2338
Hollister,Oklahoma,46,34.3413,-98.8706
Hollow Creek,Kentucky,806,38.1527,-85.6243
Hollow Rock,Tennessee,679,36.0355,-88.274
Holloway,Minnesota,85,45.2441,-95.9112
Holloway,Ohio,317,40.1621,-81.1313
Hollowayville,Illinois,86,41.3649,-89.2947
Holly,Colorado,774,38.0554,-102.125
Holly,Michigan,6149,42.7987,-83.6235
Holly Grove,Arkansas,528,34.6003,-91.1963
Holly Hill,Florida,12357,29.2443,-81.0463
Holly Hill,South Carolina,1178,33.3245,-80.413
Holly Pond,Alabama,826,34.1696,-86.6125
Holly Ridge,North Carolina,2827,34.4953,-77.527
Holly Springs,Georgia,15442,34.1685,-84.4845
Holly Springs,Mississippi,7798,34.7768,-89.4466
Holly Springs,North Carolina,37812,35.653,-78.8397
Hollyvilla,Kentucky,555,38.0929,-85.7467
Hollywood,Alabama,984,34.719,-85.965
Hollywood,Florida,154817,26.0294,-80.1679
Hollywood,South Carolina,5227,32.7523,-80.2106
Hollywood Park,Texas,3342,29.5994,-98.4841
Holmen,Wisconsin,10034,43.9699,-91.2661
Holmes Beach,Florida,4305,27.5108,-82.7153
Holmesville,Ohio,402,40.629,-81.9233
Holstein,Iowa,1370,42.4869,-95.5429
Holstein,Nebraska,238,40.4652,-98.651
Holt,Minnesota,87,48.2929,-96.1945
Holt,Missouri,502,39.4553,-94.3371
Holton,Indiana,450,39.0752,-85.3847
Holton,Kansas,3208,39.4699,-95.7319
Holts Summit,Missouri,4391,38.6474,-92.1142
Holtville,California,6621,32.813,-115.378
Holy Cross,Iowa,368,42.6011,-90.996
Holyoke,Colorado,2208,40.582,-102.297
Holyoke,Massachusetts,40117,42.2125,-72.6411
Holyrood,Kansas,415,38.5876,-98.412
Homecroft,Indiana,763,39.6696,-86.1312
Homedale,Idaho,2720,43.6154,-116.938
Homeland,Georgia,941,30.8603,-82.0213
Homer,Georgia,1220,34.335,-83.4987
Homer,Illinois,1159,40.0335,-87.9578
Homer,Louisiana,2834,32.793,-93.0582
Homer,Michigan,1645,42.1461,-84.8103
Homer,Nebraska,521,42.3225,-96.4912
Homer Glen,Illinois,24472,41.6044,-87.9497
Homerville,Georgia,2350,31.0385,-82.742
Homestead,Florida,69523,25.4665,-80.4472
Homestead,Missouri,185,39.3632,-94.2006
Homestown,Missouri,130,36.3318,-89.8242
Hometown,Illinois,4177,41.7312,-87.7311
Homewood,Alabama,25377,33.4617,-86.8092
Homewood,Illinois,18703,41.5591,-87.661
Hominy,Oklahoma,3388,36.422,-96.3929
Honaker,Virginia,1318,37.0156,-81.9685
Hondo,Texas,9436,29.3531,-99.162
Honea Path,South Carolina,3826,34.4476,-82.395
Honeoye Falls,New York,2754,42.9557,-77.5903
Honey Grove,Texas,1737,33.5866,-95.909
Honeyville,Utah,1644,41.6361,-112.086
Honor,Michigan,331,44.6666,-86.0201
Hood River,Oregon,7801,45.7092,-121.526
Hooker,Oklahoma,1844,36.8612,-101.216
Hookerton,North Carolina,388,35.423,-77.5895
Hooks,Texas,2712,33.4707,-94.2841
Hooper,Colorado,100,37.746,-105.878
Hooper,Nebraska,838,41.6117,-96.5487
Hooper,Utah,9152,41.1599,-112.287
Hoopeston,Illinois,5009,40.4608,-87.6635
Hoople,North Dakota,227,48.5358,-97.639
Hooppole,Illinois,191,41.5218,-89.914
Hoosick Falls,New York,3347,42.9009,-73.35
Hoot Owl,Oklahoma,4,36.36,-95.1214
Hoover,Alabama,85768,33.3754,-86.8064
Hope,Arkansas,9599,33.6682,-93.5895
Hope,Idaho,102,48.2493,-116.304
Hope,Indiana,2228,39.2993,-85.766
Hope,Kansas,329,38.6912,-97.0765
Hope,New Mexico,106,32.8159,-104.737
Hope,North Dakota,252,47.3243,-97.7192
Hope Mills,North Carolina,15849,34.969,-78.9559
Hopedale,Illinois,825,40.4233,-89.4214
Hopedale,Ohio,903,40.3265,-80.8954
Hopewell,Illinois,398,40.9842,-89.4572
Hopewell,Virginia,22529,37.2915,-77.2985
Hopkins,Michigan,607,42.6251,-85.7633
Hopkins,Minnesota,18468,44.9261,-93.4056
Hopkins,Missouri,476,40.5511,-94.8169
Hopkins Park,Illinois,598,41.069,-87.6064
Hopkinsville,Kentucky,30680,36.8386,-87.4776
Hopkinton,Iowa,597,42.3431,-91.2487
Hoquiam,Washington,8655,46.9863,-123.902
Horace,Kansas,66,38.4768,-101.79
Horace,North Dakota,2944,46.7559,-96.9078
Horatio,Arkansas,1030,33.941,-94.3554
Hordville,Nebraska,148,41.0793,-97.8904
Horicon,Wisconsin,3645,43.4453,-88.6403
Horizon City,Texas,19642,31.6799,-106.19
Horn Hill,Alabama,229,31.2382,-86.3211
Horn Lake,Mississippi,27272,34.9512,-90.0501
Hornbeak,Tennessee,470,36.3352,-89.2983
Hornbeck,Louisiana,437,31.3265,-93.396
Hornell,New York,8302,42.3332,-77.6633
Hornersville,Missouri,594,36.0404,-90.1158
Hornick,Iowa,218,42.2305,-96.0971
Hornsby,Tennessee,262,35.2285,-88.8294
Horntown,Oklahoma,92,35.0869,-96.2476
Horse Cave,Kentucky,2425,37.1738,-85.9146
Horseshoe Bay,Texas,4024,30.5403,-98.3804
Horseshoe Beach,Florida,168,29.4499,-83.2818
Horseshoe Bend,Arkansas,2109,36.2217,-91.7396
Horseshoe Bend,Idaho,787,43.9165,-116.2
Horseshoe Lake,Arkansas,272,34.9136,-90.3079
Horton,Kansas,1685,39.6627,-95.5327
Hortonville,Wisconsin,2912,44.3368,-88.6361
Hoschton,Georgia,2180,34.0853,-83.7593
Hoskins,Nebraska,299,42.1126,-97.3045
Hosmer,South Dakota,186,45.5788,-99.4736
Hospers,Iowa,696,43.0722,-95.9039
Hosston,Louisiana,299,32.8849,-93.882
Hot Springs,Arkansas,38797,34.4892,-93.0501
Hot Springs,Montana,582,47.6091,-114.67
Hot Springs,North Carolina,577,35.892,-82.8291
Hot Springs,South Dakota,3502,43.4196,-103.466
Hot Sulphur Springs,Colorado,733,40.0748,-106.103
Hotchkiss,Colorado,928,38.799,-107.714
Houghton,Iowa,136,40.7836,-91.6104
Houghton,Michigan,7754,47.1119,-88.5672
Houma,Louisiana,32696,29.5799,-90.7058
House,New Mexico,62,34.6489,-103.904
Houston,Arkansas,175,35.0349,-92.6945
Houston,Delaware,405,38.9174,-75.5039
Houston,Minnesota,965,43.7582,-91.5707
Houston,Mississippi,3427,33.8963,-89.0031
Houston,Missouri,2082,37.3212,-91.9611
Houston Acres,Kentucky,504,38.2147,-85.6143
Houston Lake,Missouri,247,39.1924,-94.6221
Houstonia,Missouri,219,38.8993,-93.3594
Hoven,South Dakota,366,45.2416,-99.7775
Howard,Kansas,606,37.4696,-96.2632
Howard,South Dakota,757,44.0116,-97.5245
Howard,Wisconsin,20177,44.5703,-88.092
Howard City,Michigan,1830,43.3947,-85.4683
Howard Lake,Minnesota,2136,45.0604,-94.067
Howards Grove,Wisconsin,3272,43.8261,-87.8232
Howardville,Missouri,338,36.5684,-89.5972
Howardwick,Texas,393,35.0347,-100.908
Howe,Oklahoma,789,34.95,-94.6408
Howe,Texas,3346,33.5066,-96.6155
Howell,Michigan,9604,42.6078,-83.9339
Howell,Utah,254,41.7733,-112.445
Howells,Nebraska,564,41.7241,-97.0043
Howey-in-the-Hills,Florida,1181,28.7098,-81.7798
Hoxie,Arkansas,2601,36.036,-90.9736
Hoxie,Kansas,1193,39.3558,-100.44
Hoyleton,Illinois,494,38.4457,-89.2721
Hoyt,Kansas,630,39.2493,-95.7081
Hoyt Lakes,Minnesota,1946,47.5598,-92.1157
Hoytville,Ohio,317,41.19,-83.7844
Huachuca City,Arizona,1736,31.6308,-110.342
Hubbard,Iowa,801,42.3055,-93.3019
Hubbard,Nebraska,224,42.3859,-96.5915
Hubbard,Ohio,7419,41.1595,-80.5672
Hubbard,Oregon,3570,45.1818,-122.807
Hubbard,Texas,1406,31.847,-96.8003
Hubbardston,Michigan,400,43.0939,-84.8413
Hubbell,Nebraska,65,40.0088,-97.4966
Huber Heights,Ohio,38154,39.8595,-84.113
Hudson,Colorado,2767,40.0898,-104.622
Hudson,Illinois,1813,40.6054,-88.9893
Hudson,Indiana,516,41.5318,-85.084
Hudson,Iowa,2468,42.432,-92.4522
Hudson,Kansas,124,38.1047,-98.6605
Hudson,Michigan,2210,41.8569,-84.3451
Hudson,New York,6072,42.2515,-73.7859
Hudson,North Carolina,3709,35.8474,-81.4864
Hudson,Ohio,22237,41.2399,-81.4408
Hudson,South Dakota,345,43.1301,-96.4556
Hudson,Texas,5005,31.3285,-94.8014
Hudson,Wisconsin,14103,44.9637,-92.7316
